a,b,metric,delta,p,p_holm_5
adaptive0.15,beta1.5,mean_test,0.0005210670269999996,0.9015102,1.0
adaptive0.15,beta1.5,sd_test,0.000928441875126918,0.6432843,1.0
adaptive0.15,beta1.5,p10_test,-0.0002134841680526563,0.9757143,1.0
adaptive0.15,beta1.5,min_test,0.002134829759597859,0.7386946,1.0
adaptive0.15,beta1.5,clean_test,-0.002921348810195887,0.7273274,1.0
beta3,beta1.5,mean_test,0.013310392592102202,0.00392623,0.0157049
beta3,beta1.5,sd_test,0.007832774826841028,0.000137299,0.000686493
beta3,beta1.5,p10_test,0.0023258420825004156,0.701502,1.0
beta3,beta1.5,min_test,-0.003820225596427842,0.720579,1.0
beta3,beta1.5,clean_test,-0.0031460657715797477,0.614279,1.0
adaptive0.15,beta3,mean_test,-0.012789325565099702,0.0162994,0.0651976
adaptive0.15,beta3,sd_test,-0.0069043329517141094,0.000968492,0.00484246
adaptive0.15,beta3,p10_test,-0.0025393262505531535,0.745465,1.0
adaptive0.15,beta3,min_test,0.005955055356025693,0.563213,1.0
adaptive0.15,beta3,clean_test,0.00022471696138381402,0.980286,1.0
adaptive0.20,beta1.5,mean_test,-0.008446628991514468,0.0414532,0.207266
adaptive0.20,beta1.5,sd_test,-0.0035419679174063435,0.0911871,0.364748
adaptive0.20,beta1.5,p10_test,-0.005168540924787555,0.350565,0.70113
adaptive0.20,beta1.5,min_test,-0.003258426487445838,0.73076,0.73076
adaptive0.20,beta1.5,clean_test,-0.01022472083568574,0.204139,0.612417
