endpoint,n,mean,se,ci95_low,ci95_high,p_one_sided,positive_pairs
support_fraction,30,0.9616666666666667,0.004235070690648419,0.9530049745536251,0.9703283587797082,5.477207774567698e-49,30
centered_span_gap,30,0.40330641870808204,0.004499416556339535,0.39410407859475377,0.4125087588214103,2.6723475452188016e-37,30
gradient_novelty_diff,30,0.002507237327912037,0.00046663104801010643,0.001552869676582319,0.0034616049792417555,4.498318124098427e-06,23
hardness_diff,30,-0.0004391944985942638,0.0004975488507548836,-0.001456796156567212,0.0005784071593786846,0.8076757863953901,13
loss_variance_z_diff,30,-0.00012350688828802046,0.0005109252166650498,-0.001168466286324454,0.0009214525097484131,0.594655418326119,13
parameter_z_diff,30,0.00015776503172417242,0.0006423136030876105,-0.0011559137888556682,0.001471443852304013,0.4038532273946883,17
translation_diff,30,-0.0008254247593347441,0.0022877027163744523,-0.005504302167251278,0.0038534526485817892,0.6395715102983324,12
mean_test_benefit,30,0.0020720023661851958,0.00439439709934026,-0.006915548840687472,0.011059553573057865,0.3204023647351495,19
high_mean_test_vs_reference,30,0.020738566635797425,0.005187465819133383,0.010129007774955626,0.03134812549663922,0.00020121830079564642,23
low_mean_test_vs_reference,30,0.01866656426961223,0.0050644902630795265,0.00830851866126953,0.029024609877954927,0.0004660903470469747,21
sd_test_benefit,30,0.0023843497629113413,0.0019358580595850558,-0.0015749245235135109,0.006343624049336194,0.11398232668460445,19
high_sd_test_vs_reference,30,0.024981391174170194,0.0026900031923170445,0.019479716907811778,0.03048306544052861,1.720417994801353e-10,30
low_sd_test_vs_reference,30,0.022597041411258855,0.002887387082060669,0.016691671762717325,0.028502411059800385,6.232205409402479e-09,28
p10_test_benefit,30,-0.0005933240056037977,0.005018330935132141,-0.01085696318816758,0.009670315176959984,0.5466502496614699,13
high_p10_test_vs_reference,30,-0.010127728879451759,0.005552117028474013,-0.02148308320267655,0.0012276254437730318,0.9607727563272545,13
low_p10_test_vs_reference,30,-0.00953440487384796,0.005558676351643523,-0.02090317451925136,0.0018343647715554409,0.9515143356411816,10
min_test_benefit,30,-0.0015245199203491211,0.006987801995594544,-0.01581617969509314,0.012767139854394895,0.5855871943589375,11
high_min_test_vs_reference,30,-0.02480428616205851,0.008159152860119132,-0.041491627446265986,-0.00811694487785104,0.9975125670778587,8
low_min_test_vs_reference,30,-0.023279766241709392,0.009166751174318904,-0.04202787746548118,-0.004531655017937605,0.9916410116682506,9
clean_test_benefit,30,0.005067980289459229,0.009274227638512447,-0.013899944984712807,0.024035905563631263,0.2944654647917495,19
high_clean_test_vs_reference,30,0.12752368648846943,0.013249413398052735,0.1004255934659018,0.15462177951103706,7.800019969500266e-11,29
low_clean_test_vs_reference,30,0.12245570619901021,0.012599454523858251,0.09668692833211233,0.14822448406590807,6.272874050978956e-11,29
