rep,method,train_seconds,pretrain_epochs,finetune_epochs,n_train,n_test,candidate_k,backward_q,base_clean,base_mean,mean_test,sd_test,p10_test,min_test,clean_test
0,gradnov4,242.40983533859253,10,2,6000,3000,8,4,0.4543333333333333,0.3648958333333333,0.4442083333333333,0.0139452976362957,0.4270666666666666,0.4083333333333333,0.4813333333333333
0,loss4,245.07109236717224,10,2,6000,3000,8,4,0.4543333333333333,0.3648958333333333,0.4432604166666667,0.0132418188376458,0.4248,0.4126666666666667,0.4753333333333333
1,gradnov4,251.2004895210266,10,2,6000,3000,8,4,0.4243333333333333,0.3505208333333334,0.4293854166666666,0.0150533363274662,0.4147,0.3903333333333333,0.4573333333333333
1,loss4,249.04059076309204,10,2,6000,3000,8,4,0.4243333333333333,0.3505208333333334,0.4327604166666666,0.0128602174418759,0.4165666666666667,0.4026666666666667,0.463
2,gradnov4,232.32216024398804,10,2,6000,3000,8,4,0.4313333333333333,0.33759375,0.4315416666666666,0.0117542793244535,0.4145,0.4093333333333333,0.4563333333333333
2,loss4,236.0052888393402,10,2,6000,3000,8,4,0.4313333333333333,0.33759375,0.431875,0.0113424220356328,0.4174,0.4123333333333333,0.4546666666666666
3,gradnov4,113.00530529022215,10,2,6000,3000,8,4,0.424,0.3435104166666666,0.42221875,0.0122923204673941,0.4070999999999999,0.393,0.435
3,loss4,116.77353858947754,10,2,6000,3000,8,4,0.424,0.3435104166666666,0.42034375,0.0126115053504449,0.4057,0.3853333333333333,0.432
4,gradnov4,238.11950993537903,10,2,6000,3000,8,4,0.4323333333333333,0.3666145833333333,0.4324583333333333,0.0123673607897249,0.4200333333333333,0.3983333333333333,0.4486666666666666
4,loss4,236.93640995025635,10,2,6000,3000,8,4,0.4323333333333333,0.3666145833333333,0.4278125,0.0142144198327893,0.4169666666666667,0.384,0.4443333333333333
5,gradnov4,246.00102400779724,10,2,6000,3000,8,4,0.4396666666666666,0.3953645833333333,0.43778125,0.0117194227704134,0.4272666666666667,0.3936666666666666,0.448
5,loss4,240.6991481781006,10,2,6000,3000,8,4,0.4396666666666666,0.3953645833333333,0.4364166666666667,0.0131982403519217,0.4245333333333333,0.387,0.4506666666666666
6,gradnov4,219.80758023262024,10,2,6000,3000,8,4,0.3953333333333333,0.3161145833333333,0.4111458333333333,0.009428446813712,0.3980666666666667,0.385,0.4253333333333333
6,loss4,230.3547456264496,10,2,6000,3000,8,4,0.3953333333333333,0.3161145833333333,0.4066354166666667,0.0104309847832497,0.3934,0.372,0.4163333333333333
7,gradnov4,236.43487787246704,10,2,6000,3000,8,4,0.4186666666666667,0.3305833333333333,0.4046354166666667,0.0152485640372178,0.3847333333333333,0.3573333333333333,0.4186666666666667
