rep,method,pre_rep_eff_rank,rep_eff_rank,rep_eff_rank_from_pretrain,train_seconds,predicted_mean_direction,rep_delta_rep_eff_rank,pretrain_epochs,finetune_epochs,n_train,n_test,candidate_k,backward_q,probe_size,mean_test,sd_test,p10_test,min_test,clean_test
40,gradnov4,3.348258897615754,3.817309557652733,0.469050660036979,118.58370637893675,POSITIVE,0.0283703812131159,10,2,6000,3000,8,4,256,0.4188645833333333,0.0123363435370371,0.4029333333333333,0.39,0.453
40,loss4,3.348258897615754,3.788939176439617,0.440680278823863,120.39893341064452,POSITIVE,0.0283703812131159,10,2,6000,3000,8,4,256,0.41896875,0.0116853489050288,0.4047333333333333,0.389,0.4526666666666666
41,gradnov4,3.838438878019709,4.178926319781005,0.3404874417612964,224.18019938468933,UNCERTAIN,0.0087834210971564,10,2,6000,3000,8,4,256,0.4138541666666666,0.0128732273373405,0.3972666666666667,0.3776666666666666,0.4396666666666666
41,loss4,3.838438878019709,4.1701428986838485,0.3317040206641399,228.6557319164276,UNCERTAIN,0.0087834210971564,10,2,6000,3000,8,4,256,0.4127083333333333,0.0137772213438337,0.3966,0.3716666666666666,0.436
42,gradnov4,4.354359147018961,4.511273358571031,0.1569142115520696,234.38316893577576,POSITIVE,0.0661826889721979,10,2,6000,3000,8,4,256,0.4389375,0.0131221002941233,0.4189666666666666,0.4076666666666667,0.464
42,loss4,4.354359147018961,4.445090669598833,0.0907315225798717,237.9074535369873,POSITIVE,0.0661826889721979,10,2,6000,3000,8,4,256,0.4397291666666666,0.0120141605517589,0.4230333333333334,0.4156666666666667,0.4603333333333333
43,gradnov4,4.817535661534883,4.298127054009353,-0.5194086075255306,232.26277494430545,NONPOSITIVE,-0.1192926043295834,10,2,6000,3000,8,4,256,0.4306354166666666,0.0114210267555302,0.4187,0.4066666666666667,0.4373333333333333
43,loss4,4.817535661534883,4.417419658338936,-0.4001160031959472,232.35985779762268,NONPOSITIVE,-0.1192926043295834,10,2,6000,3000,8,4,256,0.4270729166666667,0.011962826045264,0.4124,0.3973333333333333,0.441
44,gradnov4,4.114195230071619,4.329741059427696,0.2155458293560768,112.5428056716919,POSITIVE,0.0191556837647324,10,2,6000,3000,8,4,256,0.4472395833333333,0.0094823867566214,0.4331,0.4266666666666667,0.4533333333333333
44,loss4,4.114195230071619,4.310585375662964,0.1963901455913443,116.2249448299408,POSITIVE,0.0191556837647324,10,2,6000,3000,8,4,256,0.4471666666666667,0.0083584567524845,0.4340666666666666,0.4276666666666666,0.455
45,gradnov4,4.321545013958002,3.793799602209443,-0.5277454117485592,231.88609194755557,POSITIVE,0.0350907768512223,10,2,6000,3000,8,4,256,0.4387708333333333,0.0123852257631543,0.422,0.4073333333333333,0.4556666666666666
45,loss4,4.321545013958002,3.758708825358221,-0.5628361885997815,233.48625469207764,POSITIVE,0.0350907768512223,10,2,6000,3000,8,4,256,0.4374895833333333,0.0125658079553163,0.4175,0.409,0.451
46,gradnov4,4.064207588154267,4.012801893161092,-0.0514056949931749,187.84886860847476,POSITIVE,0.1136476494032292,10,2,6000,3000,8,4,256,0.4064166666666666,0.0127832776070899,0.3929666666666667,0.373,0.4276666666666666
46,loss4,4.064207588154267,3.899154243757863,-0.1650533443964041,190.03129982948303,POSITIVE,0.1136476494032292,10,2,6000,3000,8,4,256,0.4009270833333333,0.0137733143820977,0.3840333333333333,0.37,0.422
47,gradnov4,3.614859547283261,3.47947521270829,-0.1353843345749705,235.4670317173004,POSITIVE,0.0992109617223229,10,2,6000,3000,8,4,256,0.41040625,0.010280208348655,0.3994,0.3876666666666666,0.421
47,loss4,3.614859547283261,3.380264250985967,-0.2345952962972934,238.40401124954224,POSITIVE,0.0992109617223229,10,2,6000,3000,8,4,256,0.4057291666666667,0.0114254440005331,0.3891666666666666,0.3806666666666666,0.417
48,gradnov4,4.626515006014899,4.648293751464228,0.0217787454493283,225.09893465042117,POSITIVE,0.0171932956730627,10,2,6000,3000,8,4,256,0.4294791666666666,0.0094318675482657,0.418,0.4113333333333333,0.4543333333333333
48,loss4,4.626515006014899,4.631100455791165,0.0045854497762656,227.9162650108337,POSITIVE,0.0171932956730627,10,2,6000,3000,8,4,256,0.42809375,0.0101643252636127,0.4156666666666667,0.409,0.452
49,gradnov4,4.493219371671923,4.232986470737155,-0.2602329009347679,241.4262673854828,POSITIVE,0.052163009734846,10,2,6000,3000,8,4,256,0.4308645833333333,0.0103805233171029,0.4183333333333333,0.3996666666666666,0.4496666666666666
49,loss4,4.493219371671923,4.180823461002309,-0.3123959106696139,242.2965488433838,POSITIVE,0.052163009734846,10,2,6000,3000,8,4,256,0.4305520833333333,0.0106018221788777,0.417,0.4016666666666666,0.4506666666666666
