rep,method,pre_rep_eff_rank,rep_eff_rank,rep_eff_rank_from_pretrain,train_seconds,predicted_mean_direction,rep_delta_rep_eff_rank,pretrain_epochs,finetune_epochs,n_train,n_test,candidate_k,backward_q,probe_size,mean_test,sd_test,p10_test,min_test,clean_test
10,gradnov4,11.74850362017296,6.988846503262413,-4.759657116910549,27.867608785629272,POSITIVE,0.1975880307087187,5,2,3000,1000,8,4,256,0.611625,0.031015862000792,0.5699,0.561,0.7
10,loss4,11.74850362017296,6.791258472553694,-4.957245147619267,27.63674783706665,POSITIVE,0.1975880307087187,5,2,3000,1000,8,4,256,0.6080416666666666,0.0341626278984439,0.5639,0.546,0.709
11,gradnov4,11.014851869628336,6.944448773222832,-4.070403096405504,27.86226773262024,POSITIVE,0.1306127387979856,5,2,3000,1000,8,4,256,0.6080833333333333,0.0298225427817786,0.5737,0.56,0.68
11,loss4,11.014851869628336,6.813836034424846,-4.201015835203489,27.92524003982544,POSITIVE,0.1306127387979856,5,2,3000,1000,8,4,256,0.5978333333333333,0.0369719831254949,0.5631,0.508,0.689
12,gradnov4,9.510408357733052,5.656744389287793,-3.853663968445259,27.50191736221313,POSITIVE,0.0152748868207348,5,2,3000,1000,8,4,256,0.5915416666666666,0.0196357685308495,0.5659,0.554,0.654
12,loss4,9.510408357733052,5.641469502467058,-3.868938855265994,28.140199899673465,POSITIVE,0.0152748868207348,5,2,3000,1000,8,4,256,0.5602916666666666,0.0332545899632394,0.5081,0.495,0.592
13,gradnov4,11.28200454225102,6.206387865773043,-5.075616676477977,27.699772596359253,POSITIVE,0.0350923845357789,5,2,3000,1000,8,4,256,0.6004166666666667,0.0333413396182011,0.5521,0.536,0.662
13,loss4,11.28200454225102,6.171295481237264,-5.110709061013756,27.618367433547974,POSITIVE,0.0350923845357789,5,2,3000,1000,8,4,256,0.6050416666666667,0.0330618381964393,0.5656,0.552,0.648
14,gradnov4,10.94242037054898,6.222118210359247,-4.720302160189734,28.215978145599365,POSITIVE,0.2355271234204936,5,2,3000,1000,8,4,256,0.5879166666666666,0.0300794840766732,0.5596000000000001,0.54,0.647
14,loss4,10.94242037054898,5.986591086938753,-4.955829283610227,27.76797866821289,POSITIVE,0.2355271234204936,5,2,3000,1000,8,4,256,0.58175,0.0310262861906256,0.553,0.527,0.646
15,gradnov4,11.1836577580511,6.579923263914718,-4.603734494136384,28.503638982772827,POSITIVE,0.0853466891584382,5,2,3000,1000,8,4,256,0.59675,0.0214987360599155,0.565,0.554,0.659
15,loss4,11.1836577580511,6.494576574756279,-4.689081183294822,28.24237060546875,POSITIVE,0.0853466891584382,5,2,3000,1000,8,4,256,0.5969166666666667,0.0225097402427727,0.5642999999999999,0.559,0.656
16,gradnov4,9.48307935245928,6.1672237032374,-3.3158556492218816,28.654850721359253,POSITIVE,0.0859490540793572,5,2,3000,1000,8,4,256,0.6051666666666667,0.0269535295206989,0.5752999999999999,0.54,0.66
16,loss4,9.48307935245928,6.0812746491580425,-3.401804703301239,28.513288974761963,POSITIVE,0.0859490540793572,5,2,3000,1000,8,4,256,0.5889166666666666,0.0251826659960113,0.5616,0.534,0.655
17,gradnov4,10.874305127993164,6.026942241445506,-4.847362886547658,28.147748231887817,POSITIVE,0.0539736912334785,5,2,3000,1000,8,4,256,0.59225,0.0220498447199501,0.572,0.554,0.651
17,loss4,10.874305127993164,5.972968550212028,-4.901336577781136,28.501999616622925,POSITIVE,0.0539736912334785,5,2,3000,1000,8,4,256,0.5937083333333334,0.0237952848209502,0.566,0.549,0.646
18,gradnov4,10.936437186460225,6.552615333335521,-4.383821853124702,28.50232005119324,POSITIVE,0.1613195082913181,5,2,3000,1000,8,4,256,0.5864166666666666,0.0228870889494428,0.5586,0.534,0.657
18,loss4,10.936437186460225,6.391295825044203,-4.54514136141602,28.23667907714844,POSITIVE,0.1613195082913181,5,2,3000,1000,8,4,256,0.556375,0.0186099844636992,0.536,0.528,0.606
19,gradnov4,10.661101957493354,5.41190074931955,-5.249201208173805,28.02607488632202,POSITIVE,0.0286044667416369,5,2,3000,1000,8,4,256,0.5812916666666667,0.0348904860168607,0.5453,0.522,0.669
19,loss4,10.661101957493354,5.383296282577913,-5.277805674915442,28.42720413208008,POSITIVE,0.0286044667416369,5,2,3000,1000,8,4,256,0.5767916666666667,0.0392716062565693,0.5332,0.487,0.687
