rep,delta_rep_eff_rank,delta_mean_test,delta_p10_test,delta_min_test,delta_clean_test
10,0.19758803070871878,0.0035833333333333828,0.006000000000000005,0.015000000000000013,-0.009000000000000008
11,0.13061273879798563,0.010249999999999981,0.010599999999999943,0.052000000000000046,-0.008999999999999897
12,0.015274886820734856,0.03125,0.05779999999999996,0.05900000000000005,0.062000000000000055
13,0.0350923845357789,-0.00462499999999999,-0.013499999999999956,-0.016000000000000014,0.014000000000000012
14,0.23552712342049453,0.006166666666666654,0.00660000000000005,0.013000000000000012,0.0010000000000000009
15,0.08534668915843824,-0.0001666666666666483,0.0007000000000000339,-0.0050000000000000044,0.0030000000000000027
16,0.08594905407935727,0.016250000000000098,0.013699999999999934,0.006000000000000005,0.0050000000000000044
17,0.053973691233478505,-0.0014583333333333393,0.006000000000000005,0.0050000000000000044,0.0050000000000000044
18,0.16131950829131814,0.030041666666666633,0.022599999999999953,0.006000000000000005,0.051000000000000045
19,0.02860446674163697,0.0044999999999999485,0.0121,0.03500000000000003,-0.018000000000000016
