rep,method,pre_rep_eff_rank,rep_eff_rank,rep_eff_rank_from_pretrain,train_seconds,predicted_mean_direction,rep_delta_rep_eff_rank,pretrain_epochs,finetune_epochs,n_train,n_test,candidate_k,backward_q,probe_size,mean_test,sd_test,p10_test,min_test,clean_test
0,gradnov4,9.81390753194429,6.279933937062687,-3.533973594881603,6.461731433868408,POSITIVE,0.03220339228963,5,2,3000,1000,8,4,256,0.587125,0.0340259651493947,0.5566000000000001,0.493,0.657
0,loss4,9.81390753194429,6.247730544773057,-3.566176987171233,6.216188907623291,POSITIVE,0.03220339228963,5,2,3000,1000,8,4,256,0.58375,0.0325232358409371,0.5583,0.492,0.653
1,gradnov4,9.24513712524046,6.084696129424211,-3.1604409958162503,6.286548137664795,NONPOSITIVE,-0.0230118247798669,5,2,3000,1000,8,4,256,0.5619583333333333,0.0389352630676219,0.5139,0.493,0.646
1,loss4,9.24513712524046,6.107707954204078,-3.1374291710363837,6.2754011154174805,NONPOSITIVE,-0.0230118247798669,5,2,3000,1000,8,4,256,0.5619166666666667,0.0361036149781812,0.5182,0.497,0.652
2,gradnov4,10.053809429650348,5.985710345705284,-4.068099083945063,6.286067724227905,UNCERTAIN,0.0095169657005866,5,2,3000,1000,8,4,256,0.5842083333333333,0.0443395781261594,0.5229,0.511,0.684
2,loss4,10.053809429650348,5.976193380004697,-4.077616049645649,6.225964546203613,UNCERTAIN,0.0095169657005866,5,2,3000,1000,8,4,256,0.5778333333333333,0.0449643981550879,0.5197,0.487,0.67
3,gradnov4,10.216811101829464,6.085086047976832,-4.131725053852632,6.322349786758423,POSITIVE,0.1806423141960884,5,2,3000,1000,8,4,256,0.5454583333333333,0.0471657384555565,0.4788,0.465,0.615
3,loss4,10.216811101829464,5.904443733780743,-4.3123673680487205,6.218730688095093,POSITIVE,0.1806423141960884,5,2,3000,1000,8,4,256,0.53525,0.0508555071619156,0.4769,0.415,0.613
4,gradnov4,11.501864076685347,6.312732105852161,-5.189131970833186,6.131896495819092,POSITIVE,0.0904788467148707,5,2,3000,1000,8,4,256,0.5610416666666667,0.0353768275504776,0.5163,0.5,0.643
4,loss4,11.501864076685347,6.2222532591372905,-5.279610817548057,6.171492576599121,POSITIVE,0.0904788467148707,5,2,3000,1000,8,4,256,0.5305416666666667,0.0354658184081845,0.4934,0.47,0.605
5,gradnov4,10.622820169508492,6.162389177314623,-4.460430992193871,6.578810214996338,POSITIVE,0.1545866985044979,5,2,3000,1000,8,4,256,0.5819166666666667,0.0410301232570992,0.521,0.507,0.679
5,loss4,10.622820169508492,6.007802478810125,-4.615017690698369,6.691810131072998,POSITIVE,0.1545866985044979,5,2,3000,1000,8,4,256,0.577875,0.0436988831814309,0.527,0.503,0.704
6,gradnov4,10.328968035047248,6.212310822962643,-4.116657212084605,6.971425771713257,POSITIVE,0.0129600546528578,5,2,3000,1000,8,4,256,0.5690000000000001,0.0307387307027695,0.5296000000000001,0.512,0.642
6,loss4,10.328968035047248,6.1993507683097855,-4.129617266737463,6.817141532897949,POSITIVE,0.0129600546528578,5,2,3000,1000,8,4,256,0.5675,0.0325416121564241,0.5332,0.505,0.649
7,gradnov4,10.308457522287828,5.526822781719633,-4.781634740568195,6.703448057174683,POSITIVE,0.0956805819981019,5,2,3000,1000,8,4,256,0.5535833333333334,0.0458797261910129,0.5032,0.484,0.692
7,loss4,10.308457522287828,5.431142199721531,-4.877315322566297,6.723611831665039,POSITIVE,0.0956805819981019,5,2,3000,1000,8,4,256,0.538125,0.0504383502298899,0.4876,0.45,0.668
8,gradnov4,10.04024489162933,5.978301913280927,-4.061942978348403,6.917500019073486,NONPOSITIVE,-0.0475577103896984,5,2,3000,1000,8,4,256,0.5395,0.0375985661151199,0.5153,0.483,0.655
8,loss4,10.04024489162933,6.025859623670625,-4.014385267958705,6.693235635757446,NONPOSITIVE,-0.0475577103896984,5,2,3000,1000,8,4,256,0.5389583333333333,0.0392865494923452,0.5092,0.479,0.656
9,gradnov4,9.31189544109288,6.326641638188487,-2.985253802904394,6.848177909851074,POSITIVE,0.0360025501059722,5,2,3000,1000,8,4,256,0.5851666666666667,0.0399539590100869,0.5425000000000001,0.51,0.684
9,loss4,9.31189544109288,6.290639088082515,-3.021256353010366,6.768351078033447,POSITIVE,0.0360025501059722,5,2,3000,1000,8,4,256,0.5835833333333333,0.0421889297932698,0.5321,0.498,0.675
