rep,delta_rep_eff_rank,delta_mean_test,delta_p10_test,delta_min_test,delta_clean_test
0,0.032203392289630095,0.003375000000000017,-0.0016999999999999238,0.0010000000000000009,0.0040000000000000036
1,-0.023011824779866963,4.1666666666606567e-05,-0.0042999999999999705,-0.0040000000000000036,-0.006000000000000005
2,0.009516965700586688,0.0063750000000000195,0.0031999999999999806,0.02400000000000002,0.014000000000000012
3,0.18064231419608845,0.010208333333333264,0.0019000000000000128,0.050000000000000044,0.0020000000000000018
4,0.09047884671487072,0.03049999999999997,0.022899999999999976,0.030000000000000027,0.038000000000000034
5,0.1545866985044979,0.004041666666666721,-0.006000000000000005,0.0040000000000000036,-0.02499999999999991
6,0.012960054652857877,0.0015000000000000568,-0.0035999999999999366,0.007000000000000006,-0.007000000000000006
7,0.09568058199810192,0.015458333333333463,0.015600000000000003,0.033999999999999975,0.02399999999999991
8,-0.04755771038969758,0.0005416666666666625,0.006099999999999994,0.0040000000000000036,-0.0010000000000000009
9,0.0360025501059722,0.001583333333333381,0.010400000000000076,0.01200000000000001,0.009000000000000008
