rep,method,pre_rep_eff_rank,rep_eff_rank,rep_eff_rank_from_pretrain,train_seconds,predicted_mean_direction,rep_delta_rep_eff_rank,pretrain_epochs,finetune_epochs,n_train,n_test,candidate_k,backward_q,probe_size,mean_test,sd_test,p10_test,min_test,clean_test
10,gradnov4,10.015856996041409,6.4565382935851074,-3.5593187024563,6.631752252578735,POSITIVE,0.1796580093998141,5,2,3000,1000,8,4,256,0.5822083333333333,0.0347562683325727,0.5388000000000001,0.524,0.69
10,loss4,10.015856996041409,6.276880284185293,-3.7389767118561137,6.607070684432983,POSITIVE,0.1796580093998141,5,2,3000,1000,8,4,256,0.5775416666666666,0.0344446363170594,0.5397000000000001,0.505,0.682
11,gradnov4,10.1630686528007,6.834867405867042,-3.328201246933657,6.639988660812378,POSITIVE,0.0660280006522526,5,2,3000,1000,8,4,256,0.6034166666666666,0.0365405274308888,0.5601,0.545,0.705
11,loss4,10.1630686528007,6.7688394052147896,-3.39422924758591,6.580615997314453,POSITIVE,0.0660280006522526,5,2,3000,1000,8,4,256,0.603125,0.0342945204141242,0.5614,0.553,0.701
12,gradnov4,9.178687884174648,6.107750207094812,-3.0709376770798364,6.538145065307617,UNCERTAIN,-0.0082227482360517,5,2,3000,1000,8,4,256,0.5989583333333334,0.036469736311998,0.5576000000000001,0.543,0.717
12,loss4,9.178687884174648,6.115972955330864,-3.0627149288437847,6.541627645492554,UNCERTAIN,-0.0082227482360517,5,2,3000,1000,8,4,256,0.5926666666666667,0.0406283972938469,0.5444,0.536,0.701
13,gradnov4,10.410697754895384,7.043976147657993,-3.366721607237391,6.601359128952026,POSITIVE,0.3782660995610065,5,2,3000,1000,8,4,256,0.5835833333333333,0.0290410753583784,0.5476000000000001,0.522,0.657
13,loss4,10.410697754895384,6.665710048096987,-3.7449877067983977,6.601110935211182,POSITIVE,0.3782660995610065,5,2,3000,1000,8,4,256,0.5819166666666666,0.0268925667225636,0.5523,0.535,0.655
14,gradnov4,10.365458396881056,6.7051862621711456,-3.660272134709911,6.592658519744873,POSITIVE,0.0801201389845474,5,2,3000,1000,8,4,256,0.5678333333333333,0.0412243771979919,0.5173,0.488,0.654
14,loss4,10.365458396881056,6.625066123186598,-3.740392273694458,6.604328870773315,POSITIVE,0.0801201389845474,5,2,3000,1000,8,4,256,0.5635416666666666,0.0328844871140424,0.5204,0.5,0.639
15,gradnov4,9.574691342218554,6.410233069640204,-3.16445827257835,6.922688722610474,POSITIVE,0.0643769222637526,5,2,3000,1000,8,4,256,0.5857916666666667,0.0404743388018788,0.5346000000000001,0.505,0.671
15,loss4,9.574691342218554,6.345856147376451,-3.2288351948421026,6.743335962295532,POSITIVE,0.0643769222637526,5,2,3000,1000,8,4,256,0.5630416666666667,0.0390022063664259,0.5123,0.496,0.653
16,gradnov4,10.170701843862856,6.146214117239855,-4.0244877266230015,6.759315013885498,POSITIVE,0.0824414670353528,5,2,3000,1000,8,4,256,0.5789583333333334,0.0408980483925436,0.5318,0.479,0.67
16,loss4,10.170701843862856,6.063772650204502,-4.106929193658354,6.725768089294434,POSITIVE,0.0824414670353528,5,2,3000,1000,8,4,256,0.5763333333333334,0.0417525491715037,0.5288,0.483,0.683
17,gradnov4,8.58173948627545,5.4488392021775445,-3.1329002840979063,6.724444627761841,NONPOSITIVE,-0.1043923307350862,5,2,3000,1000,8,4,256,0.5609583333333333,0.040169725964437,0.5121,0.487,0.653
17,loss4,8.58173948627545,5.553231532912631,-3.02850795336282,6.746641397476196,NONPOSITIVE,-0.1043923307350862,5,2,3000,1000,8,4,256,0.5627083333333333,0.0318412900747313,0.525,0.498,0.638
18,gradnov4,10.392243680380126,6.728142846016087,-3.66410083436404,6.849234580993652,POSITIVE,0.0481201289846762,5,2,3000,1000,8,4,256,0.5930833333333333,0.0449733415400208,0.5425000000000001,0.497,0.689
18,loss4,10.392243680380126,6.68002271703141,-3.712220963348716,6.755424499511719,POSITIVE,0.0481201289846762,5,2,3000,1000,8,4,256,0.5965416666666666,0.0416903483426024,0.5475000000000001,0.52,0.69
19,gradnov4,9.966642690567715,6.45260555948271,-3.514037131085005,6.6540608406066895,POSITIVE,0.1135427345395241,5,2,3000,1000,8,4,256,0.5647916666666667,0.0268052220199018,0.5323,0.522,0.651
19,loss4,9.966642690567715,6.339062824943186,-3.627579865624529,6.658964157104492,POSITIVE,0.1135427345395241,5,2,3000,1000,8,4,256,0.5592916666666667,0.0281339639499347,0.5266000000000001,0.515,0.649
20,gradnov4,9.41013414057624,6.210772079866461,-3.1993620607097784,6.469236612319946,POSITIVE,0.1817767385161559,5,2,3000,1000,8,4,256,0.5784166666666667,0.034459701311717,0.5441,0.509,0.657
20,loss4,9.41013414057624,6.0289953413503055,-3.3811387992259343,6.376690149307251,POSITIVE,0.1817767385161559,5,2,3000,1000,8,4,256,0.573125,0.0351571781278452,0.5423,0.5,0.651
21,gradnov4,9.631386778587546,5.995841891323428,-3.6355448872641176,6.303906202316284,POSITIVE,0.062403728590886,5,2,3000,1000,8,4,256,0.5562083333333333,0.0580322093224149,0.494,0.427,0.671
21,loss4,9.631386778587546,5.933438162732542,-3.697948615855004,6.31352686882019,POSITIVE,0.062403728590886,5,2,3000,1000,8,4,256,0.5684583333333334,0.0512164878060611,0.51,0.464,0.68
22,gradnov4,9.42285198085438,6.196010358376498,-3.226841622477881,6.413589000701904,UNCERTAIN,0.0083219776361707,5,2,3000,1000,8,4,256,0.5787916666666667,0.0478348419193507,0.5306000000000001,0.487,0.695
22,loss4,9.42285198085438,6.187688380740327,-3.235163600114052,6.289543390274048,UNCERTAIN,0.0083219776361707,5,2,3000,1000,8,4,256,0.5794166666666667,0.0483177136180444,0.5235000000000001,0.499,0.693
23,gradnov4,9.49502723681202,6.58328778507049,-2.9117394517415294,6.41083574295044,POSITIVE,0.1875682486125942,5,2,3000,1000,8,4,256,0.600375,0.0425091422392059,0.552,0.511,0.707
23,loss4,9.49502723681202,6.395719536457896,-3.099307700354124,6.356514692306519,POSITIVE,0.1875682486125942,5,2,3000,1000,8,4,256,0.58275,0.0443476875530658,0.5253,0.485,0.684
24,gradnov4,9.888191578024305,6.339094984015982,-3.549096594008321,6.384959936141968,POSITIVE,0.0331079606023214,5,2,3000,1000,8,4,256,0.5311666666666667,0.0516902704381686,0.472,0.43,0.644
24,loss4,9.888191578024305,6.30598702341366,-3.5822045546106427,6.546576738357544,POSITIVE,0.0331079606023214,5,2,3000,1000,8,4,256,0.5354166666666668,0.0423103612211792,0.4866999999999999,0.455,0.613
25,gradnov4,9.83812275988818,6.843081126599288,-2.995041633288891,3.1067891120910645,POSITIVE,0.1651531466416784,5,2,3000,1000,8,4,256,0.5685833333333333,0.0328195549696487,0.5297000000000001,0.516,0.658
