rep,delta_rep_eff_rank,delta_mean_test,delta_p10_test,delta_min_test,delta_clean_test
10,0.17965800939981413,0.004666666666666708,-0.0009000000000000119,0.019000000000000017,0.007999999999999896
11,0.06602800065225267,0.00029166666666657903,-0.0012999999999999678,-0.008000000000000007,0.0040000000000000036
12,-0.008222748236052624,0.006291666666666695,0.0132000000000001,0.007000000000000006,0.016000000000000014
13,0.37826609956100654,0.0016666666666667052,-0.0046999999999999265,-0.013000000000000012,0.0020000000000000018
14,0.0801201389845474,0.004291666666666694,-0.0030999999999999917,-0.01200000000000001,0.015000000000000013
15,0.06437692226375269,0.022750000000000048,0.022300000000000098,0.009000000000000008,0.018000000000000016
16,0.08244146703535282,0.0026249999999999885,0.0030000000000000027,-0.0040000000000000036,-0.013000000000000012
17,-0.10439233073508625,-0.0017499999999999183,-0.012900000000000023,-0.01100000000000001,0.015000000000000013
18,0.048120128984676214,-0.003458333333333341,-0.0050000000000000044,-0.02300000000000002,-0.0010000000000000009
19,0.11354273453952413,0.005499999999999949,0.005699999999999927,0.007000000000000006,0.0020000000000000018
20,0.18177673851615594,0.0052916666666666945,0.0018000000000000238,0.009000000000000008,0.006000000000000005
21,0.062403728590886054,-0.012250000000000094,-0.016000000000000014,-0.03700000000000003,-0.009000000000000008
22,0.008321977636170708,-0.0006249999999999867,0.007099999999999995,-0.01200000000000001,0.0020000000000000018
23,0.18756824861259425,0.017625000000000002,0.026700000000000057,0.026000000000000023,0.02299999999999991
24,0.03310796060232146,-0.004250000000000087,-0.014699999999999935,-0.025000000000000022,0.031000000000000028
25,0.16515314664167846,0.006916666666666682,0.005600000000000049,0.0010000000000000009,0.01100000000000001
26,0.045394019811968,0.0009583333333332833,0.006399999999999961,-0.0030000000000000027,0.0010000000000000009
27,0.02734518620817994,0.009041666666666726,0.01539999999999997,0.01599999999999996,0.015000000000000013
28,-0.07295517332021006,0.022166666666666668,0.040200000000000014,0.03200000000000003,-0.0010000000000000009
29,0.0326175087699232,-0.0002083333333333659,-0.0005999999999999339,0.0030000000000000027,-0.0050000000000000044
