rep,method,rank_native,rank_spread,rank_concentrate,delta_rank_spread,delta_rank_concentrate,std_rank_native,std_rank_spread,std_rank_concentrate,delta_std_rank_spread,delta_std_rank_concentrate
200,gradnov,11.700835989194443,14.890060863546708,4.992441707419277,3.1892248743522646,-6.708394281775166,15.196159452804103,15.196159452804103,15.196159452804103,0.0,0.0
200,loss_hard,11.266083206631324,14.701764146772913,4.991804017737235,3.435680940141589,-6.274279188894089,15.106159007007568,15.106159007007568,15.106159007007568,0.0,0.0
201,gradnov,11.659338528217946,13.344630653871382,6.277893161149836,1.6852921256534366,-5.3814453670681095,14.043895556155366,14.043895556155366,14.043895556155366,0.0,0.0
201,loss_hard,11.537160934476198,14.03381809055416,6.611385725904647,2.496657156077962,-4.925775208571551,14.223558439009276,14.223558439009276,14.223558439009276,0.0,0.0
202,gradnov,11.806908122535884,13.855178822211814,6.396682645508848,2.04827069967593,-5.410225477027035,14.761076912544086,14.761076912544086,14.761076912544086,0.0,0.0
202,loss_hard,12.180741307517073,14.653680875410473,6.393192515338477,2.4729395678934,-5.787548792178596,15.884398389983756,15.884398389983756,15.884398389983756,0.0,0.0
203,gradnov,11.14882739500658,13.766545800583838,5.319467212157075,2.617718405577259,-5.829360182849504,14.34552100014151,14.34552100014151,14.34552100014151,0.0,0.0
203,loss_hard,11.01788432019667,13.99957067495176,5.618026904300337,2.981686354755091,-5.399857415896332,14.757019376283242,14.757019376283242,14.757019376283242,0.0,0.0
204,gradnov,12.092276514817849,14.441853951103017,5.87573759388835,2.349577436285168,-6.216538920929499,14.96305679729756,14.96305679729756,14.96305679729756,0.0,0.0
204,loss_hard,11.528947196814826,13.251234958425009,6.401403307823206,1.7222877616101826,-5.12754388899162,15.124774953621364,15.124774953621364,15.124774953621364,0.0,0.0
205,gradnov,12.54499417876439,14.21598548854207,5.6651211497714,1.6709913097776798,-6.879873028992991,15.927031581340673,15.927031581340673,15.927031581340673,0.0,0.0
205,loss_hard,12.501094818530802,15.101331270125124,6.152394633858231,2.6002364515943217,-6.3487001846725715,16.425829967856796,16.425829967856796,16.425829967856796,0.0,0.0
206,gradnov,11.77345740127378,13.768465591674026,6.189725193249901,1.995008190400247,-5.5837322080238785,14.163226792719938,14.163226792719938,14.163226792719938,0.0,0.0
206,loss_hard,11.909114241529652,13.67607547753768,5.936376971638109,1.7669612360080276,-5.972737269891543,13.794883708881704,13.794883708881704,13.794883708881704,0.0,0.0
207,gradnov,12.675825002767947,14.037988289012029,6.89215480849596,1.3621632862440816,-5.783670194271988,15.154252243636796,15.154252243636796,15.154252243636796,0.0,0.0
207,loss_hard,12.115975916432111,15.452229844847832,6.398228815988771,3.3362539284157204,-5.71774710044334,16.837300529374534,16.837300529374534,16.837300529374534,0.0,0.0
208,gradnov,12.530612989998572,14.125509413333395,6.125359418384553,1.5948964233348235,-6.405253571614018,15.05439763896391,15.05439763896391,15.05439763896391,0.0,0.0
208,loss_hard,12.798568814174976,13.94321923917533,6.813618735412816,1.1446504250003535,-5.98495007876216,14.746318952407725,14.746318952407725,14.746318952407725,0.0,0.0
209,gradnov,11.908429241286006,13.520309555654396,6.479229248431661,1.6118803143683902,-5.429199992854345,14.533843052748743,14.533843052748743,14.533843052748743,0.0,0.0
209,loss_hard,12.274195311609784,13.884576605450077,7.235801329557111,1.6103812938402928,-5.038393982052673,14.43128167548443,14.43128167548443,14.43128167548443,0.0,0.0
210,gradnov,12.233442671439876,13.783932465634908,6.023621288381683,1.5504897941950322,-6.209821383058193,14.594187173875572,14.594187173875572,14.594187173875572,0.0,0.0
210,loss_hard,12.102906351372852,13.810760548492953,6.673081147186983,1.707854197120101,-5.429825204185868,13.945384444177998,13.945384444177998,13.945384444177998,0.0,0.0
211,gradnov,11.480061663595242,13.38320465517158,4.890660305520059,1.9031429915763383,-6.589401358075183,14.730736228586958,14.730736228586958,14.730736228586958,0.0,0.0
211,loss_hard,11.68560485298581,13.46943776331912,4.987433118944962,1.7838329103333095,-6.698171734040848,13.899520283335743,13.899520283335743,13.899520283335743,0.0,0.0
212,gradnov,12.222010604691103,13.762487592296168,6.398369896839196,1.5404769876050644,-5.823640707851907,14.800632821070067,14.800632821070067,14.800632821070067,0.0,0.0
212,loss_hard,12.008903241862372,13.824466837410768,6.710881925024636,1.8155635955483955,-5.298021316837736,14.678554820514892,14.678554820514892,14.678554820514892,0.0,0.0
213,gradnov,12.760635302819004,14.441255248045222,7.31192205030869,1.6806199452262174,-5.448713252510315,15.95363114859016,15.95363114859016,15.95363114859016,0.0,0.0
213,loss_hard,12.19006771664613,15.316471638469146,6.27163500927926,3.126403921823016,-5.91843270736687,15.751095015889746,15.751095015889746,15.751095015889746,0.0,0.0
214,gradnov,13.40487961200648,15.440894421571764,7.041604702713257,2.036014809565284,-6.3632749092932235,15.678089982762422,15.678089982762422,15.678089982762422,0.0,0.0
214,loss_hard,12.740558448268333,14.565146053946725,7.095400773907874,1.824587605678392,-5.645157674360458,14.991523427034656,14.991523427034656,14.991523427034656,0.0,0.0
215,gradnov,11.422026307893637,13.973550902390905,4.837073485925279,2.551524594497268,-6.584952821968358,14.886158582200258,14.886158582200258,14.886158582200258,0.0,0.0
215,loss_hard,11.473233134481164,14.47670586392754,5.232581811983098,3.0034727294463757,-6.240651322498066,14.608649141402442,14.608649141402442,14.608649141402442,0.0,0.0
216,gradnov,11.341026780215264,13.496160448725592,4.925348642876151,2.1551336685103273,-6.415678137339113,13.89382206491291,13.89382206491291,13.89382206491291,0.0,0.0
216,loss_hard,12.03207777310829,14.254993900074863,5.887475403512956,2.222916126966574,-6.144602369595334,14.501391425970578,14.501391425970578,14.501391425970578,0.0,0.0
217,gradnov,12.979206153269846,15.89324114864136,6.536017068249776,2.914034995371514,-6.44318908502007,16.684064382799214,16.684064382799214,16.684064382799214,0.0,0.0
217,loss_hard,13.124518113592988,15.452738029770217,6.516331438243052,2.328219916177229,-6.608186675349936,16.423569337006032,16.423569337006032,16.423569337006032,0.0,0.0
218,gradnov,11.779339089716744,14.203820560362027,5.314418067356221,2.424481470645283,-6.464921022360524,14.703241004682347,14.703241004682347,14.703241004682347,0.0,0.0
218,loss_hard,11.754419451991057,14.929697125263568,5.776443148213673,3.175277673272511,-5.977976303777384,15.922739712541086,15.922739712541086,15.922739712541086,0.0,0.0
219,gradnov,12.141700078395658,14.877136624598686,5.5360404732479145,2.7354365462030277,-6.605659605147744,15.513231652388496,15.513231652388496,15.513231652388496,0.0,0.0
219,loss_hard,12.460380643791249,14.52076044051686,6.339454383576133,2.060379796725611,-6.120926260215116,16.168673239261377,16.168673239261377,16.168673239261377,0.0,0.0
