method,metric,delta,p,ci_lo,ci_hi,p_holm
fixed_active,mean_test,0.017415730214367313,9.860700186849488e-07,0.012208684378924457,0.02299082382194076,4.930350093424744e-06
fixed_active,sd_test,3.2054208766495636e-05,0.9868626313450602,-0.003782700079446455,0.003686556104950499,0.9868626313450602
fixed_active,p10_test,0.015820225675900777,0.00038280487554670094,0.008254496832688646,0.02334082428614297,0.0015312195021868038
fixed_active,min_test,0.00928838600715001,0.20644151296736887,-0.004344571133454642,0.02329587489366531,0.43957410870021396
fixed_active,clean_test,0.013857676585515342,0.14652470290007133,-0.002846438760558755,0.03288389546175798,0.43957410870021396
hard2_active2,mean_test,0.01461704107622304,0.0001012934280678578,0.008324859949449665,0.020940215652032426,0.0004051737122714312
hard2_active2,sd_test,-0.002565846530577232,0.08479559327578041,-0.005464375896389793,0.00012436028175488115,0.16959118655156083
hard2_active2,p10_test,0.018119850158691404,7.621508794444078e-05,0.010644193778435382,0.025880149933199086,0.0003810754397222039
hard2_active2,min_test,0.014681644241015113,0.053543192154190074,0.0011966218550999957,0.028988760237892472,0.16062957646257023
hard2_active2,clean_test,0.003895132740338643,0.5624101888675094,-0.00891386076807975,0.01662921607494354,0.5624101888675094
joint_meta,mean_test,0.02711704022561511,2.4833538214983574e-08,0.02014981149369849,0.033884877539084604,1.2416769107491786e-07
joint_meta,sd_test,-0.0005104998785634247,0.7789277714331481,-0.00400691274288865,0.002901360004466254,0.7789277714331481
joint_meta,p10_test,0.024157303969065354,1.0900903173789666e-06,0.01686872803916535,0.031835203394293785,4.360361269515867e-06
joint_meta,min_test,0.0196254645784696,0.023661161348375127,0.003968157991766939,0.03528089375545584,0.07098348404512539
joint_meta,clean_test,0.015880151589711497,0.08106544927674433,-7.490615050000005e-05,0.03348314960797628,0.16213089855348867
digits_meta,mean_test,0.01766666741420824,3.7185500826192434e-07,0.012434387540289502,0.022829682617448256,1.8592750413096216e-06
digits_meta,sd_test,-0.0014985748283966496,0.434401556370279,-0.005212694029712153,0.002100881052289842,0.6849002221573433
digits_meta,p10_test,0.021910109619299564,8.533463208642647e-05,0.012883891530334942,0.031528275512158845,0.0003413385283457059
digits_meta,min_test,0.012059923013051357,0.08507975886721593,-0.0008239741126696215,0.025243443263073775,0.2552392766016478
digits_meta,clean_test,0.007715357343355814,0.3424501110786716,-0.00741572879254818,0.023595506971081107,0.6849002221573433
