comparison,metric,n,delta,p,p_holm_6
gradnov4-loss4,cos_mean,30,0.038372571518023806,2.4434801888008624e-07,4.886960377601725e-07
gradnov4-loss4,relerr_mean,30,-0.2255200879027446,1.0759122356844987e-11,6.455473414106992e-11
gradnov4-loss4,cos_tail,30,0.01591374451915423,0.003954469670092274,0.003954469670092274
gradnov4-loss4,relerr_tail,30,-0.14244764583806196,5.358079010826987e-09,2.143231604330795e-08
gradnov4-loss4,proj_mean,30,-0.11257826387882233,1.2097120342803979e-08,3.6291361028411937e-08
gradnov4-loss4,proj_tail,30,-0.12880270505944888,5.793285889508707e-11,2.8966429447543536e-10
gradnov4-random4,cos_mean,30,0.004965765277544657,0.6666337479636892,0.6666337479636892
gradnov4-random4,relerr_mean,30,0.03683981647094091,0.15143814069302863,0.30287628138605727
gradnov4-random4,cos_tail,30,0.07591113441934189,6.955928196439149e-06,4.1735569178634894e-05
gradnov4-random4,relerr_tail,30,-0.09546072396139303,4.3433937125473856e-05,0.00021716968562736927
gradnov4-random4,proj_mean,30,0.04335728411873182,0.09622099679436914,0.28866299038310744
gradnov4-random4,proj_tail,30,0.10837625622128447,0.00013417081530359696,0.0005366832612143878
gradnov4-paramnov4,cos_mean,30,0.024450637151797613,7.889587484693616e-05,0.0003155834993877446
gradnov4-paramnov4,relerr_mean,30,-0.1209407914429903,3.983019950144008e-08,2.3898119700864046e-07
gradnov4-paramnov4,cos_tail,30,0.006691482911507288,0.20754906049142327,0.20754906049142327
gradnov4-paramnov4,relerr_tail,30,-0.06367104686796665,0.00019539314699870615,0.0003907862939974123
gradnov4-paramnov4,proj_mean,30,-0.05371055901050568,9.375791355566723e-05,0.0003155834993877446
gradnov4-paramnov4,proj_tail,30,-0.06810029149055481,4.60183436663609e-07,2.300917183318045e-06
