eta,comparison,metric,n,delta,p,p_holm_2
0.01,gradnov4-loss4,mean_loss_drop,30,-0.0001787861188252767,2.0042080575000956e-06,2.0042080575000956e-06
0.01,gradnov4-loss4,tail_loss_drop,30,-0.0003010918696721395,2.466779429144001e-07,4.933558858288002e-07
0.01,gradnov4-random4,mean_loss_drop,30,5.38031260172526e-06,0.8890725158407943,0.8890725158407943
0.01,gradnov4-random4,tail_loss_drop,30,0.0001427998145421346,0.014155976632395095,0.02831195326479019
0.01,gradnov4-paramnov4,mean_loss_drop,30,-0.00012076099713643392,1.493020547062512e-05,1.493020547062512e-05
0.01,gradnov4-paramnov4,tail_loss_drop,30,-0.00020094513893127442,2.649551062435848e-06,5.299102124871696e-06
0.05,gradnov4-loss4,mean_loss_drop,30,-0.0007920732100804647,3.1327862604792237e-06,3.1327862604792237e-06
0.05,gradnov4-loss4,tail_loss_drop,30,-0.0013909031947453817,2.6906271067049697e-07,5.381254213409939e-07
0.05,gradnov4-random4,mean_loss_drop,30,2.7446945508321127e-05,0.8767709440468306,0.8767709440468306
0.05,gradnov4-random4,tail_loss_drop,30,0.0007103910048802694,0.009610405485067612,0.019220810970135224
0.05,gradnov4-paramnov4,mean_loss_drop,30,-0.0005316297213236491,2.5563199367980237e-05,2.5563199367980237e-05
0.05,gradnov4-paramnov4,tail_loss_drop,30,-0.0009238253037134807,2.975414468604363e-06,5.950828937208726e-06
