ref,metric,delta,p,p_holm
loss4,mean_test,0.029075841885060065,7.353207899117777e-07,3.6766039495588888e-06
loss4,sd_test,0.00018095385212215097,0.9381655035427944,1.0
loss4,p10_test,0.02628089636564255,0.0001375200926794065,0.000550080370717626
loss4,min_test,0.017752808332443255,0.11734387593677563,0.3520316278103269
loss4,clean_test,0.0032584279775619562,0.733053092488445,1.0
hard1_paramnov3,mean_test,0.014514044206589463,3.405910913665074e-05,0.0001702955456832537
hard1_paramnov3,sd_test,0.00222591025932701,0.20465446443212024,0.4093089288642405
hard1_paramnov3,p10_test,0.007943818718194964,0.08641805401995961,0.25925416205987883
hard1_paramnov3,min_test,0.011123593151569371,0.21996062114457937,0.4093089288642405
hard1_paramnov3,clean_test,0.017191007733345046,0.03182525783653503,0.12730103134614013
hard1_random3,mean_test,0.027262640567496433,2.1900935411931464e-07,6.570280623579439e-07
hard1_random3,sd_test,-0.028876649074727916,9.156927549621457e-11,4.578463774810729e-10
hard1_random3,p10_test,0.05832584440708162,9.049479042109061e-09,3.6197916168436244e-08
hard1_random3,min_test,0.056629211455583583,1.6316508612749103e-05,3.2633017225498206e-05
hard1_random3,clean_test,-0.043820227682590474,0.0004147423431453026,0.0004147423431453026
hard1_easy3,mean_test,0.06044522403739394,1.476566692231024e-09,4.429700076693072e-09
hard1_easy3,sd_test,-0.07526054887709997,1.1851696282408163e-13,4.740678512963265e-13
hard1_easy3,p10_test,0.13989887535572051,2.0751842999866322e-14,1.0375921499933161e-13
hard1_easy3,min_test,0.08842696398496629,1.2770100415691632e-07,2.5540200831383264e-07
hard1_easy3,clean_test,-0.10483146011829376,7.752921774933947e-07,7.752921774933947e-07
