comparison,metric,n,delta,p,p_holm_5
weighted12_8-oracle7_8,mean_test,20,0.004139045225456339,0.27628789534273945,1.0
weighted12_8-oracle7_8,sd_test,20,0.0011593626670456734,0.35695394977703276,1.0
weighted12_8-oracle7_8,p10_test,20,0.0009775286912918069,0.873623033681435,1.0
weighted12_8-oracle7_8,min_test,20,-0.013146065920591355,0.16113894634525364,0.8056947317262682
weighted12_8-oracle7_8,clean_test,20,-0.005617973208427429,0.5109311533399606,1.0
weighted12_8-learned_top7_8,mean_test,20,0.009963483633473519,0.0025758584337346015,0.010303433734938406
weighted12_8-learned_top7_8,sd_test,20,-0.001721855544085244,0.2614994796675667,0.7844984390027001
weighted12_8-learned_top7_8,p10_test,20,0.015505618751049041,0.0006231257509884294,0.003115628754942147
weighted12_8-learned_top7_8,min_test,20,-2.2351741790771484e-09,0.9999997284745368,1.0
weighted12_8-learned_top7_8,clean_test,20,-0.0006741523742675781,0.9380859764554229,1.0
learned_top6_8-learned_top7_8,mean_test,20,0.006287921862676749,0.07400783963965273,0.37003919819826364
learned_top6_8-learned_top7_8,sd_test,20,-0.0012471540044957999,0.4612741553123315,1.0
learned_top6_8-learned_top7_8,p10_test,20,0.007269662469625471,0.16281316356763992,0.6512526542705597
learned_top6_8-learned_top7_8,min_test,20,-0.0006741560995578766,0.9387464130459623,1.0
learned_top6_8-learned_top7_8,clean_test,20,-0.0010112255811691284,0.8933114480692983,1.0
weighted12_8-raw64_8,mean_test,20,0.013719101315364236,0.0009166992052077144,0.002750097615623143
weighted12_8-raw64_8,sd_test,20,-0.012090074867417786,1.0990877097481698e-06,4.396350838992679e-06
weighted12_8-raw64_8,p10_test,20,0.030179774910211565,7.757666474626448e-07,3.878833237313224e-06
weighted12_8-raw64_8,min_test,20,0.034044943004846576,0.0009585233460365495,0.002750097615623143
weighted12_8-raw64_8,clean_test,20,0.024382023513317107,0.002392089653067114,0.002750097615623143
weighted12_8-old_transfer7_8,mean_test,20,0.025691010677255675,2.5716669149912844e-05,5.143333829982569e-05
weighted12_8-old_transfer7_8,sd_test,20,-0.014403177499057975,1.8800779338747082e-07,9.400389669373541e-07
weighted12_8-old_transfer7_8,p10_test,20,0.039325842261314393,1.4637121814795607e-05,4.391136544438682e-05
weighted12_8-old_transfer7_8,min_test,20,0.05932583995163441,3.5612119633345185e-06,1.4244847853338074e-05
weighted12_8-old_transfer7_8,clean_test,20,0.018539319932460784,0.06590609040034234,0.06590609040034234
