comparison,metric,n,delta,p,p_holm_5
oracle7_8-grad16,mean_test,20,0.00016713513061403785,0.9686647397175866,0.9686647397175866
oracle7_8-grad16,sd_test,20,0.005725145956757444,0.06001052018801219,0.24004208075204875
oracle7_8-grad16,p10_test,20,-0.010910108834505083,0.10513014136108209,0.31539042408324625
oracle7_8-grad16,min_test,20,-0.01988764107227326,0.036004770639228995,0.18002385319614497
oracle7_8-grad16,clean_test,20,-0.015168538689613353,0.262359924702585,0.52471984940517
raw64_8-grad16,mean_test,20,-0.017723315656185148,2.4396251093274877e-05,9.75850043730995e-05
raw64_8-grad16,sd_test,20,0.00794266975417255,0.00269714034948427,0.00809142104845281
raw64_8-grad16,p10_test,20,-0.033382019698619855,1.6384588234637596e-07,8.192294117318798e-07
raw64_8-grad16,min_test,20,-0.020561797916889196,0.04920588172206494,0.04920588172206494
raw64_8-grad16,clean_test,20,-0.034719103574752816,0.003595508610225768,0.00809142104845281
learned_pred8-grad16,mean_test,20,-0.005897472137585291,0.05180929495249202,0.10361858990498404
learned_pred8-grad16,sd_test,20,0.009801226487649787,0.008061031909773024,0.024183095729319072
learned_pred8-grad16,p10_test,20,-0.019853927642107014,0.0009098843485815672,0.0036395373943262687
learned_pred8-grad16,min_test,20,-0.0479775257408619,0.00017869653577612138,0.0008934826788806069
learned_pred8-grad16,clean_test,20,-0.01056179851293564,0.3106435778837808,0.3106435778837808
learned_top7_8-grad16,mean_test,20,0.0007640442810952497,0.8632686424374775,0.8632686424374775
learned_top7_8-grad16,sd_test,20,0.00858951502904723,0.001022645527409988,0.00511322763704994
learned_top7_8-grad16,p10_test,20,-0.01228089734911919,0.005355416162082636,0.021421664648330545
learned_top7_8-grad16,min_test,20,-0.026404491066932684,0.01461159370130127,0.043834781103903805
learned_top7_8-grad16,clean_test,20,-0.007752810418605793,0.40784375230872466,0.8156875046174493
random8-grad16,mean_test,20,-0.014683989118784675,0.007479734505966115,0.01495946901193223
random8-grad16,sd_test,20,0.013707449281962991,0.0002036159886137434,0.0008144639544549736
random8-grad16,p10_test,20,-0.0375280863046646,5.15184009209448e-06,2.57592004604724e-05
random8-grad16,min_test,20,-0.04741573110222817,0.0008844013570790944,0.002653204071237283
random8-grad16,clean_test,20,-0.012584270536899572,0.32504037387242385,0.32504037387242385
learned_top7_8-raw64_8,mean_test,20,0.018487359937280397,0.0005640064876414897,0.0028200324382074487
learned_top7_8-raw64_8,sd_test,20,0.0006468452748746807,0.755547738542554,1.0
learned_top7_8-raw64_8,p10_test,20,0.02110112234950066,0.0018676834923439932,0.007470733969375973
learned_top7_8-raw64_8,min_test,20,-0.005842693150043486,0.5261146418668761,1.0
learned_top7_8-raw64_8,clean_test,20,0.026966293156147014,0.03932472201622873,0.1179741660486862
learned_top7_8-oracle7_8,mean_test,20,0.0005969091504812119,0.8791596246657373,1.0
learned_top7_8-oracle7_8,sd_test,20,0.002864369072289786,0.26248427325891427,1.0
learned_top7_8-oracle7_8,p10_test,20,-0.0013707885146141074,0.8454879684984798,1.0
learned_top7_8-oracle7_8,min_test,20,-0.006516849994659421,0.5517205239035763,1.0
learned_top7_8-oracle7_8,clean_test,20,0.00741572827100756,0.47040117337088194,1.0
