optimizer,metric,n,delta_gradnov_vs_loss4,p,p_holm_5metrics
adamw,mean_test,20,0.026945225121453385,1.0248777827820325e-05,5.124388913910163e-05
adamw,sd_test,20,-0.003005184266921647,0.158824312488201,0.317648624976402
adamw,p10_test,20,0.029404500871896742,0.0003536795935466398,0.0014147183741865593
adamw,min_test,20,0.0270786538720131,0.010745664396058856,0.03223699318817657
adamw,clean_test,20,-0.0026966258883476396,0.7941608617708661,0.7941608617708661
sgd_momentum,mean_test,20,0.018757022479549045,0.009046787529712238,0.03618715011884895
sgd_momentum,sd_test,20,-0.004842649205535813,0.11278079717292991,0.33834239151878975
sgd_momentum,p10_test,20,0.03016854092478751,0.0004997870057086749,0.002498935028543374
sgd_momentum,min_test,20,0.011910114437341692,0.2953661798795162,0.5907323597590324
sgd_momentum,clean_test,20,-0.003820227086544048,0.7360369205512524,0.7360369205512524
