kind,coordinate,mean,se,ci95_low,ci95_high,p_two_sided_descriptive
centroid,angle,0.10070925043942498,0.01082674110872683,0.07856607859616019,0.12285242228268978,3.3199664707823797e-10
centroid,blur,0.07470982562046304,0.01301446788092716,0.048092250133806816,0.10132740110711926,3.2530069118226005e-06
centroid,brightness,0.08099614167907422,0.009640079570274405,0.061279965189431115,0.10071231816871733,2.9277677652564003e-09
centroid,contrast,0.027752373711458618,0.01366614515430487,-0.00019803145181390702,0.05570277887473114,0.05153938821197856
centroid,dx,0.09644047028462406,0.01371372724621158,0.06839274881654925,0.12448819175269887,9.820140779956337e-08
centroid,dy,0.004868499080299632,0.011054566426171334,-0.017740627855430957,0.027477626016030224,0.6629083372754261
centroid,noise,-0.012264274726937984,0.013313907347185225,-0.03949427268600959,0.014965723232133622,0.36456558035276204
within_subset_variance,angle,0.010155549365595894,0.015911992566582465,-0.022388129496973788,0.042699228228165576,0.528330647318278
within_subset_variance,blur,-0.22222464344910156,0.010415065326388886,-0.24352584377938064,-0.2009234431188225,2.8225239551365037e-19
within_subset_variance,brightness,-0.14857089688370684,0.012309584273545917,-0.1737468235222935,-0.12339497024512017,7.873171998330324e-13
within_subset_variance,contrast,-0.07328127213562834,0.01030097347724482,-0.09434912843411222,-0.05221341583714445,7.915167488837207e-08
within_subset_variance,dx,0.3488921720400035,0.016498572240313432,0.3151488030412467,0.3826355410387603,3.6035209573662593e-19
within_subset_variance,dy,0.31118695945580405,0.020717289591053775,0.26881534467953355,0.35355857423207454,3.2419780089872267e-15
within_subset_variance,noise,-0.22083877672302027,0.008576985705633524,-0.23838068212833044,-0.2032968713177101,1.5825754745104961e-21
