experiment,n,comparison,metric,delta_pp,p_holm,status
MLP geometric: gradient novelty vs parameter novelty,20,hard1_gradnov3 - hard1_paramnov3,mean_test,1.451,0.00017,supported
CNN geometric replication,20,gradnov4 - loss4,mean_test,2.25,0.0171,supported
CNN geometric replication,20,gradnov4 - loss4,min_test,2.573,0.00573,supported
Optimizer ablation: AdamW,20,gradnov4 - loss4,mean_test,2.695,0.0000512,supported
Optimizer ablation: AdamW,20,gradnov4 - loss4,p10_test,2.94,0.00142,supported
Optimizer ablation: SGD+momentum tuned,20,gradnov4 - loss4,mean_test,1.876,0.0362,supported
Optimizer ablation: SGD+momentum tuned,20,gradnov4 - loss4,p10_test,3.017,0.00250,supported
RNG prefilter compression,40,prefilter12 - full16,sd_test,-0.309,0.0477,supported
Learned RNG fingerprint: original generator,20,learned_top7 - raw64,mean_test,1.85,0.00282,supported
Relative redundancy control: Digits,20,relative0.15 - beta0,mean_test,4.625,0.000000509,supported
CIFAR-10 ResNet-20 primary first stage,20,gradnov4 - loss4,mean_test,0.138,0.111957,suggestive
CIFAR-10 ResNet-20 primary first stage,20,gradnov4 - loss4,p10_test,0.1433,0.129751,suggestive
