endpoint,n,mean,se,ci95_low,ci95_high,p_one_sided,positive_pairs
support_fraction,30,0.9800000000000001,0.0027854300726557796,0.9743031558493166,0.9856968441506836,1.681243649419335e-54,30
rank_gap,30,1.7693750000000001,0.01892838989363642,1.7306620959116898,1.8080879040883104,7.944501898772524e-38,30
hardness_diff,30,-0.3100404964803017,0.004219289971780199,-0.3186699133993398,-0.30141107956126356,1.0,0
loss_variance_z_diff,30,0.002293275830878149,0.0006184086982437257,0.001028488030277383,0.0035580636314789145,0.00043884605036379257,24
parameter_z_diff,30,-0.0005126068501567553,0.0006304745172423059,-0.0018020720214300253,0.0007768583211165146,0.7885925429688977,14
translation_diff,30,-0.013552516748977202,0.002652416649965069,-0.018977317904772084,-0.00812771559318232,0.9999906452010864,5
gradient_novelty_diff,30,0.000675822019138418,0.0005534493480495398,-0.00045610899291152014,0.0018077530311883562,0.11593992477137076,16
span_diff,30,-7.748325274421891e-05,0.0011960396959820325,-0.0025236590921340583,0.0023686925866456205,0.5256044227729437,16
opposition_diff,30,0.00154162699857555,0.0009749745968216286,-0.00045241994717042555,0.003535673944321526,0.06233981867272641,20
mean_test_benefit,30,0.009066234566271302,0.003878887956290767,0.0011330179395538844,0.01699945119298872,0.013266770151498656,18
high_mean_test_vs_reference,30,0.030088587459176773,0.005731302012099925,0.0183667586960152,0.041810416222338345,6.333067764253841e-06,26
low_mean_test_vs_reference,30,0.02102235289290548,0.006106182848436866,0.0085338067310001,0.03351089905481086,0.0008855672674955483,25
sd_test_benefit,30,0.004640982880314878,0.0022130262133898825,0.00011483606987319848,0.00916712969075656,0.022407584937622595,20
high_sd_test_vs_reference,30,0.02302404473495994,0.0023996982715533857,0.018116110697804343,0.027931978772115538,8.367860787806273e-11,29
low_sd_test_vs_reference,30,0.018383061854645066,0.0023801769827319153,0.013515053336039775,0.023251070373250356,8.105610502520237e-09,30
p10_test_benefit,30,0.001565719346205389,0.005167541750979612,-0.009003090219856444,0.012134528912267222,0.38202975025118036,15
high_p10_test_vs_reference,30,8.242726325985439e-06,0.006028085669575011,-0.012320576770404188,0.01233706222305616,0.4994591731884111,17
low_p10_test_vs_reference,30,-0.0015574766198794036,0.006748419174209766,-0.015359543552509914,0.012244590312751108,0.5904512979968546,16
min_test_benefit,30,-0.010589202245076498,0.00689800232742355,-0.02469720107662352,0.0035187965864705226,0.9322021291939149,12
high_min_test_vs_reference,30,-0.029913471639156343,0.008683333368648448,-0.047672882437236164,-0.012154060841076519,0.999119357259218,9
low_min_test_vs_reference,30,-0.019324269394079843,0.007205772655186373,-0.034061729222936286,-0.0045868095652234,0.9940203991120081,9
clean_test_benefit,30,0.021878854433695475,0.009834996542170061,0.0017640279753766315,0.041993680892014315,0.01702565711085642,18
high_clean_test_vs_reference,30,0.08537288208802542,0.010240867164474062,0.06442795700209958,0.10631780717395126,1.7224899289234156e-09,29
low_clean_test_vs_reference,30,0.06349402765432993,0.012912475522563754,0.03708504996226958,0.08990300534639029,1.5962399079659622e-05,26
