comparison,metric,n,delta,p,p_holm_5
beta1.5-beta0,mean_test,30,-0.00041910283267497793,0.06130811556536522,0.18392434669609567
beta1.5-beta0,sd_test,30,0.0003065662927644982,0.04462554595175639,0.17850218380702557
beta1.5-beta0,p10_test,30,0.0003898658355077115,0.4763439296411904,0.4763439296411904
beta1.5-beta0,min_test,30,-0.0035087645053863527,0.0057386543262562964,0.02869327163128148
beta1.5-beta0,clean_test,30,0.0019493202368418376,0.08632231685369625,0.18392434669609567
beta3-beta0,mean_test,30,-0.0003216365724801958,0.19559387514437496,0.3911877502887499
beta3-beta0,sd_test,30,0.0002597130998355703,0.056602420491488274,0.19899826335642642
beta3-beta0,p10_test,30,0.00033138612906138026,0.4966182988120035,0.4966182988120035
beta3-beta0,min_test,30,-0.0023391783237457276,0.049749565839106606,0.19899826335642642
beta3-beta0,clean_test,30,0.002534117301305135,0.020877634610805336,0.10438817305402667
relative0.15-beta0,mean_test,30,-0.0005433718611796719,0.00880892562200513,0.04404462811002565
relative0.15-beta0,sd_test,30,0.00017647670980104323,0.2681916172567974,0.4506857011373267
relative0.15-beta0,p10_test,30,-0.0009941528240839678,0.22534285056866335,0.4506857011373267
relative0.15-beta0,min_test,30,-0.0023391862710316976,0.03724623348190984,0.11173870044572953
relative0.15-beta0,clean_test,30,0.0027290403842926024,0.01071741169600955,0.04404462811002565
relative0.15-beta1.5,mean_test,30,-0.00012426902850469398,0.4041697158815711,0.88563268967005
relative0.15-beta1.5,sd_test,30,-0.00013008958296345502,0.2214081724175125,0.88563268967005
relative0.15-beta1.5,p10_test,30,-0.0013840186595916793,0.052403199701544695,0.2620159985077235
relative0.15-beta1.5,min_test,30,0.001169578234354655,0.2458064102428951,0.88563268967005
relative0.15-beta1.5,clean_test,30,0.0007797201474507649,0.502014372320321,0.88563268967005
