comparison,metric,n,delta,p,p_holm_5
beta1.5-beta0,mean_test,30,0.0005628660072882911,6.257569351787537e-05,0.0003128784675893769
beta1.5-beta0,sd_test,30,-0.0001253866398566122,0.08211893200524592,0.24635679601573776
beta1.5-beta0,p10_test,30,0.000292399128278098,0.36747731054847227,0.7349546210969445
beta1.5-beta0,min_test,30,0.0015594482421875,0.018154560394252117,0.07261824157700847
beta1.5-beta0,clean_test,30,-0.000389862060546875,0.6623630688669604,0.7349546210969445
beta3-beta0,mean_test,30,0.0007188112040360702,3.2876013733386825e-05,0.0001643800686669341
beta3-beta0,sd_test,30,-0.00020994888107485167,0.02530546940252744,0.07591640820758232
beta3-beta0,p10_test,30,0.00050682346026103,0.19037982682476587,0.38075965364953174
beta3-beta0,min_test,30,0.001949310302734375,0.005358247219659707,0.02143298887863883
beta3-beta0,clean_test,30,-0.000779728094736735,0.40293329404646655,0.40293329404646655
relative0.15-beta0,mean_test,30,0.0005482459316650922,0.003521907682803796,0.01760953841401898
relative0.15-beta0,sd_test,30,-0.00015085703475970023,0.12027261152652133,0.3606529885575996
relative0.15-beta0,p10_test,30,0.0006432751814524406,0.1202176628525332,0.3606529885575996
relative0.15-beta0,min_test,30,0.0019493122895558675,0.005358231815629401,0.021432927262517602
relative0.15-beta0,clean_test,30,-0.0005847970644632975,0.5218924134690661,0.5218924134690661
relative0.15-beta1.5,mean_test,30,-1.4620075623198818e-05,0.8849378799679449,1.0
relative0.15-beta1.5,sd_test,30,-2.5470394903088015e-05,0.6364224535460704,1.0
relative0.15-beta1.5,p10_test,30,0.00035087605317434266,0.16345417806429002,0.8039410421575194
relative0.15-beta1.5,min_test,30,0.0003898640473683675,0.16078820843150388,0.8039410421575194
relative0.15-beta1.5,clean_test,30,-0.00019493500391642253,0.7450103132198579,1.0
