a,b,metric,delta,p,p_holm_5
relative0.15,beta0,mean_test,0.04625140376389028,1.0186605410025947e-07,5.093302705012973e-07
relative0.15,beta0,sd_test,0.005015493224362666,0.05579345204605865,0.1115869040921173
relative0.15,beta0,p10_test,0.03582022875547408,8.137490534749701e-05,0.00032549962138998806
relative0.15,beta0,min_test,0.03921348229050637,0.0011114918652911803,0.003334475595873541
relative0.15,beta0,clean_test,0.01651685386896134,0.13393093079205184,0.13393093079205184
relative0.15,beta1.5,mean_test,-0.001724720466881996,0.6754535371450275,1.0
relative0.15,beta1.5,sd_test,0.002837055889344619,0.22443907978519073,0.8977563191407629
relative0.15,beta1.5,p10_test,-0.012280895560979846,0.05304866008582037,0.2652433004291018
relative0.15,beta1.5,min_test,-0.001348314434289935,0.8957871203257359,1.0
relative0.15,beta1.5,clean_test,0.0033707901835441562,0.6215470617685855,1.0
relative0.15,beta3,mean_test,-0.008634831719100473,0.027139668081369733,0.13569834040684867
relative0.15,beta3,sd_test,-0.0009650802112400908,0.6677541413170068,1.0
relative0.15,beta3,p10_test,-0.011112356483936298,0.08286243267363373,0.3314497306945349
relative0.15,beta3,min_test,-0.0041573032736778245,0.7230740318945486,1.0
relative0.15,beta3,clean_test,-0.002584271132946012,0.6836344533222014,1.0
relative0.30,beta1.5,mean_test,-0.011390450038015861,0.005550393012702111,0.027751965063510554
relative0.30,beta1.5,sd_test,0.002066064164481257,0.24465518059969024,0.6663123413981401
relative0.30,beta1.5,p10_test,-0.01388763949275017,0.02141257981120028,0.08565031924480113
relative0.30,beta1.5,min_test,-0.010224719345569613,0.22210411379938003,0.6663123413981401
relative0.30,beta1.5,clean_test,-0.00382022261619569,0.6633925557339763,0.6663123413981401
