a,b,metric,delta,p,p_holm_5
relative0.15,beta0,mean_test,0.0003554681688547112,0.17110164602022207,0.8555082301011103
relative0.15,beta0,sd_test,-2.6140617125069986e-05,0.8118226965679284,1.0
relative0.15,beta0,p10_test,6.770759820937667e-05,0.8675752491222145,1.0
relative0.15,beta0,min_test,-0.00046874284744262694,0.5309920775750203,1.0
relative0.15,beta0,clean_test,0.0006770819425582942,0.32089977727979485,1.0
relative0.15,beta1.5,mean_test,8.593760430812836e-05,0.6712433043365887,1.0
relative0.15,beta1.5,sd_test,0.00010258930825785993,0.2891533861908293,1.0
relative0.15,beta1.5,p10_test,-5.208879709244774e-05,0.8890719655088094,1.0
relative0.15,beta1.5,min_test,0.0001562565565109253,0.867399668313781,1.0
relative0.15,beta1.5,clean_test,0.0006770789623260498,0.17923540637587587,0.8961770318793794
relative0.15,beta3,mean_test,0.00011653635650873961,0.5025720359363655,1.0
relative0.15,beta3,sd_test,6.00346344887699e-05,0.5321620867609692,1.0
relative0.15,beta3,p10_test,0.00026562333106993074,0.3504993565126526,1.0
relative0.15,beta3,min_test,0.0004166722297668457,0.4936369141345167,1.0
relative0.15,beta3,clean_test,0.0003645867109298706,0.6115189106987109,1.0
relative0.30,beta1.5,mean_test,-0.00012304652482271748,0.4649412246583101,1.0
relative0.30,beta1.5,sd_test,4.565684912439978e-05,0.6310133175068195,1.0
relative0.30,beta1.5,p10_test,-0.00011980146169663364,0.7633291388923147,1.0
relative0.30,beta1.5,min_test,-0.0013020813465118408,0.10092679087766213,0.5046339543883106
relative0.30,beta1.5,clean_test,0.0007291644811630249,0.17588974211970132,0.7035589684788053
