endpoint,n,mean,se,k,ci95_low,ci95_high,p_one_sided,positive_pairs
g_gradient_gap,30,0.2085000447931816,0.002475963221537006,2.045229642132703,0.20343613141966374,0.21356395816669946,1.623194155225993e-36,30
t_translation_gap,30,1.1511910552829068,0.008317759705939716,2.045229642132703,1.134179326576182,1.1682027839896316,9.298854510635427e-43,30
g_mean_test_benefit,30,0.03852029277011753,0.004522392278227083,2.045229642132703,0.029270962029335455,0.047769623510899605,1.1000301131919972e-09,29
g_clean_test_benefit,30,0.011619281768798829,0.014405654506961147,2.045229642132703,-0.017843589843160677,0.04108215338075834,0.21323763267439455,16
g_p10_test_benefit,30,0.054103832642237344,0.006248397871935316,2.045229642132703,0.04132442409871634,0.06688324118575835,7.780043329339223e-10,29
g_min_test_benefit,30,0.037577259540557864,0.00894361606808897,2.045229642132703,0.019285510850247968,0.05586900823086776,0.00011542490073420188,23
g_high_vs_reference,30,0.017526267866293594,0.005562969105567472,2.045229642132703,0.00614871855331855,0.02890381717926864,0.0018821047387790127,20
g_low_vs_reference,30,-0.02099402490382393,0.004739462559100813,2.045229642132703,-0.03068731421747503,-0.011300735590172828,0.9999383430921313,7
t_mean_test_benefit,30,0.017686444303641722,0.005811662397246638,2.045229642132703,0.005800260098724894,0.02957262850855855,0.0024674788652370235,23
t_clean_test_benefit,30,0.02657602330048879,0.012841180829990176,2.045229642132703,0.00031285962700665707,0.05283918697397093,0.023751526410482518,20
t_p10_test_benefit,30,0.013770085175832112,0.007269254242658212,2.045229642132703,-0.0010972090774513752,0.0286373794291156,0.03409935217960304,19
t_min_test_benefit,30,-0.010053562621275583,0.007929656981716838,2.045229642132703,-0.026271532132227403,0.0061644068896762345,0.892530413957504,10
t_high_vs_reference,30,0.006393181687841817,0.00605749221682151,2.045229642132703,-0.0059957809509896725,0.018782144326673307,0.1499741593194844,17
t_low_vs_reference,30,-0.011293262615799904,0.005246831135237751,2.045229642132703,-0.022024237180852932,-0.0005622880507468748,0.980088896603258,10
gradient_minus_spatial_benefit,30,0.020833848466475808,0.005438275539047014,2.045229642132703,0.00971132613193165,0.03195637080101996,0.0003159129531754782,22
